Gamma,Q,Sources
8.491257627,266.3710715,Wilson 1996
8.216456453,285.1462322,Wilson 1996
7.402319673,243.2463234,Wilson 1996
6.669192698,232.4480453,Wilson 1996
6.277977887,193.8404247,Wilson 1996
5.975362066,189.4890679,Wilson 1996
5.813149496,158.0165639,Wilson 1996
5.502769708,161.6451978,Wilson 1996
5.383341545,165.3571583,Wilson 1996
5.208589995,141.0592751,Wilson 1996
4.849679762,125.92173,Wilson 1996
4.77048667,125.92173,Wilson 1996
4.491153871,134.7973211,Wilson 1996
4.540536076,123.0950214,Wilson 1996
4.393098474,102.6499974,Wilson 1996
4.001729373,100.345696,Wilson 1996
4.001729373,100.345696,Wilson 1996
3.767256946,98.09312181,Wilson 1996
3.685043986,76.41461525,Wilson 1996
3.624794919,73.0223902,Wilson 1996
3.356650794,69.78075402,Wilson 1996
3.265694685,65.18611196,Wilson 1996
3.624794919,73.0223902,Wilson 1996
3.007655799,66.68302171,Wilson 1996
2.831400017,63.72280505,Wilson 1996
2.709500658,50.78002997,Wilson 1996
2.57894788,51.94612378,Wilson 1996
2.495231264,44.31306537,Wilson 1996
2.650506331,44.31306537,Wilson 1996
2.310599444,40.46606928,Wilson 1996
2.104647123,35.31261353,Wilson 1996
2.127897171,36.12351931,Wilson 1996
2.0031156,31.52309823,Wilson 1996
1.875464908,32.24698299,Wilson 1996
1.77527443,30.81546334,Wilson 1996
1.653012388,30.12371353,Wilson 1996
1.581829638,23.46639537,Wilson 1996
1.834461728,22.93961846,Wilson 1996
1.864933975,23.46639537,Wilson 1996
1.448794047,21.42918285,Wilson 1996
1.312394886,17.46883214,Wilson 1996
1.326838778,16.31861484,Wilson 1996
1.255956827,15.59419302,Wilson 1996
1.208646677,16.31861484,Wilson 1996
1.144148773,17.86997994,Wilson 1996
1.113156808,17.07668937,Wilson 1996
1.071083688,13.30275379,Wilson 1996
1.025054314,12.71221316,Wilson 1996
0.954459463,12.42684763,Wilson 1996
0.918543779,14.24039817,Wilson 1996
0.883925477,14.24039817,Wilson 1996
0.823033289,13.30275379,Wilson 1996
0.653540154,10.84425732,Wilson 1996
0.582373934,9.902823561,Wilson 1996
1.393964008,14.90193,Wilson 1996
1.019600107,17.86997994,Wilson 1996
1.530387343,17.46883214,Wilson 1996
0.864573806,9.463213859,Gilbert 1914
0.774683034,9.04311947,Gilbert 1914
0.701756351,7.541135124,Gilbert 1914
0.639154036,5.487746199,Gilbert 1914
0.653233556,3.816198233,Gilbert 1914
0.682524793,3.484898659,Gilbert 1914
0.686266865,3.330195785,Gilbert 1914
0.660335307,2.65379783,Gilbert 1914
0.582142289,4.085182904,Gilbert 1914
0.51872966,3.406669169,Gilbert 1914
0.467364123,3.406669169,Gilbert 1914
0.45718814,2.972821278,Gilbert 1914
0.499138915,2.840850728,Gilbert 1914
0.530172652,2.535989484,Gilbert 1914
0.524347732,2.163346552,Gilbert 1914
0.507342123,1.975537704,Gilbert 1914
0.496315945,1.887838925,Gilbert 1914
0.432693756,1.975537704,Gilbert 1914
0.398500391,1.975537704,Gilbert 1914
0.462068981,1.342956786,Gilbert 1914
0.420895935,1.254531177,Gilbert 1914
0.358944957,1.094763474,Gilbert 1914
0.32697087,1.094763474,Gilbert 1914
0.398577635,3.041088045,Gilbert 1914
0.430439735,3.564924582,Gilbert 1914
0.353206029,2.369009862,Gilbert 1914
0.338009907,2.020903221,Gilbert 1914
0.341733446,1.931190559,Gilbert 1914
0.38974824,1.119903218,Gilbert 1914
0.261082888,1.046164341,Gilbert 1914
0.235191604,0.727506405,Gilbert 1914
0.225049904,0.494553793,Gilbert 1914
0.222584129,0.451619581,Gilbert 1914
0.291359951,0.955342591,Gilbert 1914
0.29784497,1.094763474,Gilbert 1914
0.141854261,0.155361599,Gilbert 1914
0.132809026,0.145131974,Gilbert 1914
0.120956457,0.096444979,Gilbert 1914
0.114495928,0.094279969,Gilbert 1914
0.108972462,0.084162469,Gilbert 1914
0.111994995,0.070183807,Gilbert 1914
0.111380901,0.068608311,Gilbert 1914
0.091395851,0.045592483,Gilbert 1914
0.08891655,0.039786166,Gilbert 1914
0.082331392,0.030993453,Gilbert 1914
0.077082376,0.029617581,Gilbert 1914
0.072166538,0.027046359,Gilbert 1914
0.067925627,0.017569732,Gilbert 1914
0.072152552,0.017569732,Gilbert 1914
0.075390976,0.017569732,Gilbert 1914
0.071737162,0.009304215,Gilbert 1914
0.066077612,0.012785639,Gilbert 1914
0.06185728,0.009304215,Gilbert 1914
0.373185461,3.255439087,Gilbert 1914
0.437625482,4.373126955,Gilbert 1914
0.22384102,0.620605284,Gilbert 1914
0.106020687,0.080426298,Gilbert 1914
0.096553923,0.047710463,Gilbert 1914
0.086975235,0.030297708,Gilbert 1914
0.615153288,7.541135124,Williams 1970
0.521728013,6.288617457,Williams 1970
0.521696081,5.487746199,Williams 1970
0.536160721,4.473549824,Williams 1970
0.439957522,2.972821278,Williams 1970
0.379295444,1.975537704,Williams 1970
0.312967318,1.470627934,Williams 1970
0.293053033,1.887838925,Williams 1970
0.252563933,0.60667385,Williams 1970
0.248454884,0.695210679,Williams 1970
0.085573298,0.048806069,Williams 1970
0.063952852,0.022047892,Williams 1970
0.062207845,0.01337959,Williams 1970
0.049392404,0.008891179,Williams 1970
0.051887477,0.006926235,Williams 1970
0.057910041,0.007758865,Williams 1970
0.045212551,0.00227692,Williams 1970
0.048282979,0.001619738,Williams 1970
0.045936859,0.000638524,Williams 1970
0.653466824,8.44768456,Williams 1970
0.074168197,0.022554191,Williams 1970
0.075818242,0.025265519,Williams 1970
0.06716769,0.01018874,Williams 1970
0.07217979,0.040699801,Paintal 1971
0.055450222,0.023601937,Paintal 1971
0.057294245,0.014651551,Paintal 1971
0.054229065,0.011675666,Paintal 1971
0.051614022,0.010906894,Paintal 1971
0.053920163,0.007085286,Paintal 1971
0.064970752,0.004927133,Paintal 1971
0.046978955,0.00185612,Paintal 1971
0.048011376,0.001152237,Paintal 1971
0.059143457,0.001101087,Paintal 1971
0.050709076,0.000715283,Paintal 1971
0.036683479,0.000748511,Paintal 1971
0.035883666,0.000610178,Paintal 1971
0.04645617,0.001152237,Paintal 1971
0.049586261,0.000269457,Paintal 1971
0.04719366,0.000235141,Paintal 1971
0.045661681,0.000200589,Paintal 1971
0.044667483,0.000175043,Paintal 1971
0.043695378,0.000156259,Paintal 1971
0.031261129,0.000127381,Paintal 1971
0.03525452,4.00E-05,Paintal 1971
0.031243276,3.57E-05,Paintal 1971
0.041116685,5.63E-05,Paintal 1971
0.042257987,4.91E-05,Paintal 1971
0.043431412,4.38E-05,Paintal 1971
0.040430418,2.48E-05,Paintal 1971
0.039334864,2.32E-05,Paintal 1971
0.040866213,1.41E-05,Paintal 1971
0.039756822,1.17E-05,Paintal 1971
0.044614659,1.26E-05,Paintal 1971
0.028922023,1.58E-05,Paintal 1971
0.032264838,6.66E-06,Paintal 1971
0.033897127,6.08E-06,Paintal 1971
0.03503261,6.36E-06,Paintal 1971
0.037009732,6.66E-06,Paintal 1971
0.038458799,6.51E-06,Paintal 1971
0.040845374,4.53E-06,Paintal 1971
0.03952068,4.13E-06,Paintal 1971
0.035406972,2.94E-06,Paintal 1971
0.035405889,2.75E-06,Paintal 1971
0.031041549,3.95E-06,Paintal 1971
0.027659353,3.08E-06,Paintal 1971
0.026910134,2.94E-06,Paintal 1971
0.026465304,1.87E-06,Paintal 1971
0.027955779,1.52E-06,Paintal 1971
0.033132031,8.63E-07,Paintal 1971
0.027941524,4.89E-07,Paintal 1971
0.027476841,2.47E-07,Paintal 1971
0.029025469,2.21E-07,Paintal 1971
0.032573052,2.53E-07,Paintal 1971
0.025164948,2.06E-07,Paintal 1971
0.023048987,1.97E-07,Paintal 1971
0.021936396,1.64E-07,Paintal 1971
0.020993688,1.57E-07,Paintal 1971
0.021592056,6.87E-07,Paintal 1971
0.022069495,5.73E-07,Paintal 1971
0.020430234,2.65E-07,Paintal 1971
0.025022112,1.31E-07,Paintal 1971
0.022913252,7.77E-08,Paintal 1971
0.027464792,9.32E-08,Paintal 1971
0.028698665,1.02E-07,Paintal 1971
0.023936296,4.72E-08,Paintal 1971
0.022662895,7.60E-08,Paintal 1971
0.028528496,3.68E-08,Paintal 1971
0.029321277,3.43E-08,Paintal 1971
0.029650935,5.41E-08,Paintal 1971
0.030142237,5.05E-08,Paintal 1971
0.019196908,3.88E-09,Paintal 1971
0.01826765,2.36E-09,Paintal 1971
0.019967268,3.06E-08,Paintal 1971
0.018798672,3.51E-08,Paintal 1971
0.018388803,2.86E-08,Paintal 1971
0.01838674,2.23E-08,Paintal 1971
0.017984385,1.52E-08,Paintal 1971
0.015682826,2.74E-08,Paintal 1971
0.015089305,1.90E-08,Paintal 1971
0.0145218,2.28E-08,Paintal 1971
0.013673159,3.21E-08,Paintal 1971
0.016132455,1.72E-07,Paintal 1971
0.058808361,0.000715283,Paintal 1971
0.039832327,0.00080127,Taylor & Vanoni 1972
0.037276093,0.000281975,Taylor & Vanoni 1972
0.026512591,9.92E-05,Taylor & Vanoni 1972
0.029259129,6.16E-05,Taylor & Vanoni 1972
0.032473852,5.75E-05,Taylor & Vanoni 1972
0.04067324,7.56E-05,Taylor & Vanoni 1972
0.041780491,2.07E-05,Taylor & Vanoni 1972
0.037641392,1.85E-05,Taylor & Vanoni 1972
0.024668561,1.89E-05,Taylor & Vanoni 1972
0.025074749,1.41E-05,Taylor & Vanoni 1972
0.027370258,8.74E-06,Taylor & Vanoni 1972
0.028129131,7.13E-06,Taylor & Vanoni 1972
0.035219653,4.42E-06,Taylor & Vanoni 1972
0.028275565,3.69E-06,Taylor & Vanoni 1972
0.023327869,2.04E-06,Taylor & Vanoni 1972
0.024641901,1.70E-06,Taylor & Vanoni 1972
0.033870512,1.06E-06,Taylor & Vanoni 1972
0.035977864,1.03E-06,Taylor & Vanoni 1972
0.037592275,1.01E-06,Taylor & Vanoni 1972
0.033856694,4.27E-07,Taylor & Vanoni 1972
